# g_cv,nu(q) extracted from vaspelph.h5
# H5_FILE = /Users/huhaitao/Desktop/code/Material/19.V2O5/7_h5/OUTPUT/vaspelph.h5
# initial VBM kv = [0.4651162791, 0.5, 0.0], target = [0.4651162791, 0.5, 0.0], distance = 0.000000e+00
# final   CBM kc = [0.0, 0.0, 0.0], target = [0.0, 0.0, 0.0], distance = 0.000000e+00
# q = kc - kv folded [-0.5,0.5) = [-0.4651162791, -0.5, 0.0]
# q folded [0,1) = [0.5348837209, 0.5, 0.0]
# VBAND = 56, CBAND = 57, local ib_v = 0, local ib_c = 56
# elph dimensions used: nkp = 2, nk = 2, nmodes = 42, nbands_kp = 64, nbands_k = 1
# temperature_K = 300.0
# columns: nu phonon_meV phonon_eV Nph_300K Re_g_eV Im_g_eV abs_g_eV abs_g2_eV2 abs_weight_eV2 em_weight_eV2
# nu phonon_meV phonon_eV Nph_300K Re_g_eV Im_g_eV abs_g_eV abs_g2_eV2 abs_weight_eV2 em_weight_eV2
  1 1.323252093677e+01 1.323252093677e-02 1.496141184861e+00 -1.368455189299e-04 -1.590770905223e-04 2.098385493189e-04 4.403221678025e-08 6.587841298565e-08 1.099106297659e-07
  2 1.340277350190e+01 1.340277350190e-02 1.471865712017e+00 -3.516144912271e-04 1.226260064858e-04 3.723840596851e-04 1.386698879076e-07 2.041034533005e-07 3.427733412080e-07
  3 1.433561347065e+01 1.433561347065e-02 1.349316433953e+00 7.638880791113e-05 -2.343282153689e-04 2.464649315664e-04 6.074496249205e-08 8.196417617041e-08 1.427091386625e-07
  4 1.469372314311e+01 1.469372314311e-02 1.306502500397e+00 -1.377411801152e-04 -5.809959800981e-05 1.494931302383e-04 2.234819598843e-08 2.919797393824e-08 5.154616992668e-08
  5 1.637867864459e+01 1.637867864459e-02 1.130839931687e+00 1.598787019118e-02 2.321924827689e-02 2.819123061865e-02 7.947454837941e-04 8.987299286026e-04 1.693475412397e-03
  6 1.706217403921e+01 1.706217403921e-02 1.069768800933e+00 -3.210935894861e-05 2.273109183254e-04 2.295675598207e-04 5.270126452202e-08 5.637816855537e-08 1.090794330774e-07
  7 2.589309262329e+01 2.589309262329e-02 5.805157705104e-01 8.429401252455e-03 1.482308817453e-02 1.705223587993e-02 2.907787485048e-04 1.688016492363e-04 4.595803977411e-04
  8 2.649121730205e+01 2.649121730205e-02 5.598063500788e-01 3.200694147464e-06 -2.460337393676e-05 2.481069229380e-05 6.155704520977e-10 3.446002480052e-10 9.601707001029e-10
  9 2.848731217322e+01 2.848731217322e-02 4.975136628423e-01 6.648290979429e-05 2.892015331406e-05 7.250070732361e-05 5.256352562424e-09 2.615107216522e-09 7.871459778946e-09
 10 3.014234926262e+01 3.014234926262e-02 4.526943384184e-01 6.865332451597e-05 1.478530185582e-04 1.630147050541e-04 2.657379406388e-08 1.202980612301e-08 3.860360018689e-08
 11 3.532675394023e+01 3.532675394023e-02 3.422781483817e-01 -4.157370660606e-05 -8.299547513794e-05 9.282576137226e-05 8.616621974340e-09 2.949281414682e-09 1.156590338902e-08
 12 3.674966674865e+01 3.674966674865e-02 3.181168587722e-01 -6.919962917348e-03 -7.768223343091e-03 1.040342158550e-02 1.082311806856e-04 3.443016322092e-05 1.426613439065e-04
 13 3.675966121016e+01 3.675966121016e-02 3.179548015051e-01 -2.518883983140e-05 8.641849664853e-05 9.001463333839e-05 8.102634215044e-09 2.576271453513e-09 1.067890566856e-08
 14 3.676586893976e+01 3.676586893976e-02 3.178541965764e-01 -8.025799463605e-05 -6.004020895677e-05 1.002305961001e-04 1.004617239457e-08 3.193218055144e-09 1.323939044972e-08
 15 4.795080043694e+01 4.795080043694e-02 1.855099508253e-01 -8.736093381593e-05 8.845024449045e-06 8.780755784496e-05 7.710167214696e-09 1.430312740853e-09 9.140479955549e-09
 16 4.859384678465e+01 4.859384678465e-02 1.801315198792e-01 -1.616799060607e-03 1.092003882090e-04 1.620482621679e-03 2.625963927165e-06 4.730188733481e-07 3.098982800513e-06
 17 6.600898153172e+01 6.600898153172e-02 8.438840559215e-02 3.007137138005e-05 1.083193913492e-04 1.124160927934e-04 1.263737791894e-08 1.066448173445e-09 1.370382609239e-08
 18 6.642356206533e+01 6.642356206533e-02 8.293454728207e-02 2.265063419034e-05 -1.958885627587e-05 2.994619373846e-05 8.967745194212e-10 7.437358878229e-11 9.711481082034e-10
 19 6.671405976640e+01 6.671405976640e-02 8.193190463370e-02 -2.355793183332e-02 -3.235798299862e-02 4.002518227319e-02 1.602015216002e-03 1.312561578992e-04 1.733271373901e-03
 20 6.681502481637e+01 6.681502481637e-02 8.158648785341e-02 2.322598754695e-04 -1.277869047675e-04 2.650927060165e-04 7.027414278314e-08 5.733420496585e-09 7.600756327973e-08
 21 7.019072898817e+01 7.019072898817e-02 7.089131759017e-02 1.207138394190e-04 7.057159720071e-05 1.398291148464e-04 1.955218135873e-08 1.386079898282e-09 2.093826125701e-08
 22 7.075844399113e+01 7.075844399113e-02 6.924487503073e-02 -5.519542593011e-05 4.816581643424e-05 7.325626878557e-05 5.366480916383e-09 3.716013004097e-10 5.738082216793e-09
 23 7.623379288549e+01 7.623379288549e-02 5.529723898215e-02 5.534029223221e-05 7.784238119406e-05 9.550907943389e-05 9.121984254308e-09 5.044205433019e-10 9.626404797610e-09
 24 7.727060157273e+01 7.727060157273e-02 5.300816428199e-02 -1.999172382316e-02 -3.118175048989e-02 3.704012128807e-02 1.371970585035e-03 7.272564216161e-05 1.444696227197e-03
 25 7.783921674993e+01 7.783921674993e-02 5.179524787820e-02 6.782555354997e-06 2.443810525343e-05 2.536186202788e-05 6.432240455214e-10 3.331594887900e-11 6.765399944004e-10
 26 7.784489943223e+01 7.784489943223e-02 5.178327419736e-02 1.669208486353e-04 -1.828338936912e-04 2.475697929704e-04 6.129080239141e-08 3.173838426011e-09 6.446464081742e-08
 27 8.136113637401e+01 8.136113637401e-02 4.490231770474e-02 2.926821156895e-05 -2.685793093452e-05 3.972375438611e-05 1.577976662528e-09 7.085480943151e-11 1.648831471960e-09
 28 8.170947358724e+01 8.170947358724e-02 4.427474124803e-02 1.021654049168e-04 1.978602226685e-04 2.226801241158e-04 4.958643767622e-08 2.195426697526e-09 5.178186437375e-08
 29 8.374532283367e+01 8.374532283367e-02 4.078510302059e-02 -3.731046685741e-05 6.465509303827e-06 3.786652542386e-05 1.433873747676e-09 5.848068851748e-11 1.492354436193e-09
 30 8.437767430013e+01 8.437767430013e-02 3.976039878638e-02 5.991550798820e-03 7.643009111103e-03 9.711553390022e-03 9.431426924724e-05 3.749972956516e-06 9.806424220376e-05
 31 9.554565920705e+01 9.554565920705e-02 2.545782961250e-02 -4.381279432589e-06 3.007419890366e-05 3.039166084904e-05 9.236530491633e-10 2.351420194666e-11 9.471672511100e-10
 32 9.580165602450e+01 9.580165602450e-02 2.520065850789e-02 -2.074140464979e-05 -5.529288591888e-05 5.905513610250e-05 3.487509100084e-09 8.788752587439e-11 3.575396625959e-09
 33 1.014093495686e+02 1.014093495686e-01 2.018728023956e-02 -4.329450927165e-05 -4.682880827417e-05 6.377579335024e-05 4.067351817452e-09 8.210877097180e-11 4.149460588424e-09
 34 1.017873197097e+02 1.017873197097e-01 1.988845113480e-02 -1.215349548219e-03 5.164855879344e-03 5.305922236403e-03 2.815281077875e-05 5.599158014806e-07 2.871272658023e-05
 35 1.413531599226e+02 1.413531599226e-01 4.238461844828e-03 3.172565844142e-05 1.340524405409e-05 3.444151523513e-05 1.186217971691e-09 5.027739612664e-12 1.191245711304e-09
 36 1.440067848697e+02 1.440067848697e-01 3.823400615740e-03 4.425825068834e-05 9.933494533600e-05 1.087484442137e-04 1.182622411890e-08 4.521639257807e-11 1.187144051148e-08
 37 1.578273903340e+02 1.578273903340e-01 2.236592128727e-03 -1.099815127999e-02 -1.528292031380e-02 1.882888697973e-02 3.545269848956e-04 7.929322638389e-07 3.553199171594e-04
 38 1.589766083796e+02 1.589766083796e-01 2.139136739474e-03 2.392768256282e-05 1.391977957332e-05 2.768202045005e-05 7.662942561967e-10 1.639208196678e-12 7.679334643934e-10
 39 1.981196498610e+02 1.981196498610e-01 4.698295896414e-04 6.860632699668e-05 -6.165223220630e-05 9.223787638489e-05 8.507825839995e-09 3.997228323145e-12 8.511823068318e-09
 40 1.981433972504e+02 1.981433972504e-01 4.693980045339e-04 -7.921428443992e-03 -1.007602619849e-02 1.281699389662e-02 1.642753325459e-04 7.711051329119e-08 1.643524430592e-04
